"","subject_id","age","education","AP","weeks_taking","years_teaching","strategies","thoughts","piano","headphones","gender","before"
"1",22189,"{\Q0\:\18\}","{\Q0\:\Bachelor's Student\}","{\Q0\:\No\}","{\Q0\:\5 years as a child\}","{\Q0\:\0\}","{\Q0\:\For the first task I sang along with the final chord's root and then shifted all my attention to the played pitch. I tried to recall the interval based on familiarity. Some intervals I have melodies to help me remember (the tritone in Rush's \\YYZ\\).  I began the second task in a similar way by singing the 3 notes repeatedly while labeling intervals. But everytime I heard the first note my do would shift to match it. To compensate I included the original do when I sang enabling me to hear the played pitches all as intervals to one another starting with do.  I repeated the method for the third task but the sequence length was becoming an issue. I was forgetting some intervals and my do was occasionally slipping.  By the fourth and fifth task I couldn't keep up with the intervals. On nearly all of the tasks I lost the orignal do. Since there were too many notes to memorize so rapidly I focused on the sequence's behavior. I listened for whether the sequences was rising or falling and by how much.\}","{\Q0\:\These tasks enlightened me of my own strengths and weaknesses. They also showed me how all music melody and harmony is based off of intervals. While analyzing the data it may be interesting to see how close the answeres are relative to the previous answer. I think got some of the sequences right but starting on a wrong note.\}","{\Q0\:\Nothing except my voice\}","{\Q0\:\Headphones\}","{\Q0\:\Male\}","{\Q0\:\Yes\}"
"2",43104,"{\Q0\:\34\}","{\Q0\:\Finished Terminal Degree (PhD)\}","{\Q0\:\No\}","{\Q0\:\2-3 years private lessons so I'm guessing about 4 semesters' worth?\}","{\Q0\:\0\}","{\Q0\:\Singing imagining a keyboard identify the first note and then focus on the melodic contour and try to forget the framing cadence\}","{\Q0\:\Curious about people's choice of using the low or hi Do depending on where the target note was in relation to the cadence. I think RT data would be fascinating but tough to interpret with this kind of point and click task\}","{\Q0\:\Yes\}","{\Q0\:\Computer speakers\}","{\Q0\:\F\}","{\Q0\:\Yes\}"
"3",4559,"{\Q0\:\64\}","{\Q0\:\finished terminal degree (DMA)\}","{\Q0\:\I did but it's fading\}","{\Q0\:\tested out of all of it back in the day\}","{\Q0\:\30\}","{\Q0\:\just listened and clicked back\}","{\Q0\:\nope\}","{\Q0\:\no\}","{\Q0\:\speakers\}","{\Q0\:\male\}","{\Q0\:\yes\}"
"4",48542,"{\Q0\:\37\}","{\Q0\:\Masters\}","{\Q0\:\No\}","{\Q0\:\1\}","{\Q0\:\0\}","{\Q0\:\I attempted to sing the intervals using the numbers. I have not attempted aural tests since the late 90s so this has been quite a challange! \}","{\Q0\:\I felt like I may have been more accurate between 3 and 5 notes but I am not sure I performed any better than chance.  \}","{\Q0\:\No I was tempted to get a guitar out but thought this would be cheating. I relied on humming the notes only\}","{\Q0\:\I listened through my laptop speakers which were quite loud. \}","{\Q0\:\Male\}","{\Q0\:\Yes\}"
"5",4983,"{\Q0\:\25\}","{\Q0\:\Completed master's degree\}","{\Q0\:\Yes\}","{\Q0\:\60 weeks\}","{\Q0\:\0\}","{\Q0\:\Trying to memorize how the tune sounded then remembering the absolute pitches and transferring them to solfege in my head\}","{\Q0\:\I wonder if the results would be different if the pitches were color-coded. It feels really easy to accidentally click \\mi\\ when you mean \\me\\ because they look so similar.\}","{\Q0\:\I tried writing down the absolute pitches of a couple tricky ones but I couldn't write quickly enough to keep up with the tune so I gave up.\}","{\Q0\:\Computer speakers\}","{\Q0\:\Female\}","{\Q0\:\I think I did the same one 3 years ago but not sure?\}"
"6",51424,"{\Q0\:\27\}","{\Q0\:\Ph.D. Student\}","{\Q0\:\No\}","{\Q0\:\120\}","{\Q0\:\5\}","{\Q0\:\Trying to maintain \\Do\\ in my head and comparing the first tone to \\Do.\\ Then tried to identify either recognizable tonal patterns or intervallic relationships.\}","{\Q0\:\This was so challenging! I may have accidentally clicked a \\Fi\\ instead of a \\Fa\\ or a similar chromatic alteration a few times.\}","{\Q0\:\I tried to vision myself singing these pitches in a sight-singing setting to illuminate what the syllables were.\}","{\Q0\:\Computer speakers.\}","{\Q0\:\Male\}","{\Q0\:\Yes.\}"
"7",54631,"{\Q0\:\36\}","{\Q0\:\Finished Terminal Degree\}","{\Q0\:\No\}","{\Q0\:\no college-level training; years of childhood training in solfege\}","{\Q0\:\10\}","{\Q0\:\Primarily chunking. It was easy to do when things were stepwise or arpeggiating; just pay attention to where the contour shifts direction. It was really hard when the melody didn't confirm the key however; I could usually come up with a new key to justify the pattern or way of thinking about it (sometimes as a set of very local relationships) but it took longer and the more I had to think about it to come up with a framework for chunking the more it interfered with my ability to simultaneously retain the melody.\}","{\Q0\:\\}","{\Q0\:\No\}","{\Q0\:\Computer speakers\}","{\Q0\:\Male\}","{\Q0\:\Yes\}"
"8",55070,"{\Q0\:\42\}","{\Q0\:\Finished Terminal Degree (Ph.D.)\}","{\Q0\:\no\}","{\Q0\:\90\}","{\Q0\:\5\}","{\Q0\:\sing back hum the tonic\}","{\Q0\:\\}","{\Q0\:\no\}","{\Q0\:\headphones\}","{\Q0\:\female\}","{\Q0\:\yes\}"
"9",55761,"{\Q0\:\38\}","{\Q0\:\finished Ph.D\}","{\Q0\:\No\}","{\Q0\:\60 weeks\}","{\Q0\:\6\}","{\Q0\:\Sing back the melody as best I could. Find the starting pitch within the scale. If I couldn't figure out all of the pattern using solfege I'd use intervals to fill in the blanks as bests I could.\}","{\Q0\:\The first block was somewhat disorienting due to the constantly changing key. If I wasn't concentrating hard I would sometimes second-guess myself on whether the tonic I remembered was from the current trial or the one before. \}","{\Q0\:\No.\}","{\Q0\:\Headphones. \}","{\Q0\:\Male\}","{\Q0\:\Yes\}"
"10",6084,"{\Q0\:\20\}","{\Q0\:\Bachelor's in progress\}","{\Q0\:\Yes\}","{\Q0\:\30 weeks\}","{\Q0\:\0\}","{\Q0\:\Singing out loud perfect pitch solfege naming absolute pitch recognition relative pitch paying attention to melodic contour\}","{\Q0\:\I was unclear if there was a time limit on certain trials because I felt I was cut off before I could input notes before completion while on other trials i had more than enough time. Fun experiment!\}","{\Q0\:\No but I have perfect pitch so I knew the note values of all the melodies in concert C.\}","{\Q0\:\Listened from my computer's speakers in a soundproof booth\}","{\Q0\:\Male\}","{\Q0\:\Yes\}"
